Flight_ID,Airline,Route,Flight_Type,Scheduled_Time,Estimated_Time,Gate,Terminal,Runway,Status,Delay_Minutes,Aircraft_Type,Aircraft_Capacity,Weather_Condition,Temperature_C,Wind_Speed_kmh,PSR_Track_ID,SSR_Code,SMR_Location,Latitude,Longitude,Alert_Status,Issue_Type,Turnaround_Time,Taxi_Time,Queue_Position,Passenger_Count,Load_Factor_%
UL220,Singapore Airlines,CMB-Chennai,Arrival,5/13/2026 11:00,5/13/2026 11:05,2,T1,22,Delayed,41,B777,312,Storm,25,20,PSR20,3441,Taxiway,6.953963575,80.09455635,Warning,Technical,119,17,6,182,86
UL221,Qatar Airways,CMB-Dubai,Departure,5/13/2026 11:15,5/13/2026 11:20,16,T2,22,Arrived,58,B737,292,Storm,31,24,PSR21,1276,Gate,7.136425036,80.04622331,Normal,Weather,22,21,6,137,76
UL222,Emirates,CMB-Singapore,Departure,5/13/2026 11:30,5/13/2026 11:35,15,T1,22,Delayed,23,B737,261,Fog,32,32,PSR22,7247,Taxiway,6.814313991,79.94653731,Normal,Delay,105,18,9,135,83
UL223,Qatar Airways,CMB-Singapore,Arrival,5/13/2026 11:45,5/13/2026 11:50,1,T2,22,On Time,27,A330,179,Clear,32,30,PSR23,5340,Runway,6.995462612,80.07448769,Normal,Weather,42,18,5,299,77
UL224,IndiGo,CMB-Dubai,Arrival,5/13/2026 12:00,5/13/2026 12:05,8,T1,22,Departed,58,A330,297,Storm,33,13,PSR24,4990,Runway,7.049919652,79.76114696,Normal,Technical,99,24,3,250,97
UL225,Singapore Airlines,CMB-London,Departure,5/13/2026 12:15,5/13/2026 12:20,18,T2,22,Arrived,51,A330,319,Storm,29,37,PSR25,3437,Runway,6.908183055,79.8510892,Warning,Congestion,102,15,1,210,76
UL226,Air India,CMB-Bangkok,Departure,5/13/2026 12:30,5/13/2026 12:35,9,T2,4,Arrived,16,B777,214,Clear,34,37,PSR26,3825,Taxiway,6.983263703,79.90910322,Warning,Technical,80,10,1,258,88
UL227,SriLankan Airlines,CMB-Singapore,Departure,5/13/2026 12:45,5/13/2026 12:50,13,T2,4,Boarding,4,B737,244,Clear,27,32,PSR27,7677,Gate,7.021570496,79.74566744,Normal,Congestion,116,15,2,285,90
UL228,IndiGo,CMB-Dubai,Departure,5/13/2026 13:00,5/13/2026 13:05,15,T2,22,Boarding,47,B777,248,Fog,32,9,PSR28,2052,Runway,7.097950061,80.04324693,Critical,Delay,94,14,5,89,80
UL229,Singapore Airlines,CMB-Singapore,Departure,5/13/2026 13:15,5/13/2026 13:20,10,T1,22,Arrived,12,B737,289,Fog,30,17,PSR29,7517,Gate,7.161355867,79.7718771,Critical,Congestion,46,24,9,274,86
UL230,Emirates,CMB-London,Departure,5/13/2026 13:30,5/13/2026 13:35,12,T1,4,Departed,54,A330,269,Fog,34,28,PSR30,2449,Runway,6.882881382,79.86005782,Normal,Weather,42,12,7,215,92
UL231,Qatar Airways,CMB-Doha,Arrival,5/13/2026 13:45,5/13/2026 13:50,15,T1,22,Arrived,34,A320,171,Fog,28,10,PSR31,5530,Taxiway,6.854081501,79.84175771,Critical,Congestion,69,18,9,209,89
UL232,SriLankan Airlines,CMB-Bangkok,Arrival,5/13/2026 14:00,5/13/2026 14:05,15,T1,22,Delayed,23,B777,171,Fog,31,30,PSR32,2270,Gate,6.922078457,79.77688086,Normal,Weather,46,12,7,319,60
UL233,IndiGo,CMB-Male,Arrival,5/13/2026 14:15,5/13/2026 14:20,1,T1,4,Departed,41,B777,177,Clear,29,35,PSR33,5847,Gate,6.993828982,79.74881517,Warning,None,106,5,5,313,87
UL234,IndiGo,CMB-Bangkok,Arrival,5/13/2026 14:30,5/13/2026 14:35,24,T1,4,Arrived,19,B737,274,Clear,25,31,PSR34,7446,Taxiway,7.199726764,80.05169384,Normal,Weather,107,17,4,120,78
UL235,Qatar Airways,CMB-Bangkok,Departure,5/13/2026 14:45,5/13/2026 14:50,17,T2,4,Arrived,33,A330,167,Fog,31,27,PSR35,2258,Taxiway,7.083562218,80.02397347,Warning,Delay,55,5,3,242,87
UL236,IndiGo,CMB-Bangkok,Departure,5/13/2026 15:00,5/13/2026 15:05,22,T2,22,Delayed,31,A320,318,Rain,26,37,PSR36,4282,Taxiway,7.014922727,79.79701245,Critical,Delay,28,15,8,299,83
UL237,Qatar Airways,CMB-Chennai,Departure,5/13/2026 15:15,5/13/2026 15:20,12,T2,4,Boarding,17,A320,229,Storm,33,32,PSR37,2401,Runway,6.872307331,79.90989838,Warning,None,38,18,5,238,66
UL238,Emirates,CMB-Dubai,Departure,5/13/2026 15:30,5/13/2026 15:35,3,T2,22,Arrived,25,A330,160,Storm,30,29,PSR38,4124,Gate,6.835459726,79.72459969,Normal,Technical,82,21,4,264,87
UL239,SriLankan Airlines,CMB-Singapore,Arrival,5/13/2026 15:45,5/13/2026 15:50,22,T1,4,Departed,9,B777,327,Storm,26,31,PSR39,4296,Runway,6.90896231,80.0208116,Critical,None,62,5,1,162,89
